"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4375132382","linkedin","https://www.linkedin.com/jobs/view/4375132382","","Tech Lead - Hybrid","Hiver","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/hiverhq","","","","","","","","","","","",""
"li-4387771340","linkedin","https://www.linkedin.com/jobs/view/4387771340","","Software Engineer","Clinisys","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/clinisys","","","","","","","","","","","",""
"li-4388168197","linkedin","https://www.linkedin.com/jobs/view/4388168197","","Software Development Manager, Amazon Kids","Amazon","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/amazon","","","","","","","","","","","",""
"li-4387902212","linkedin","https://www.linkedin.com/jobs/view/4387902212","","Solution Consultant - .Net Development","AVEVA","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/aveva","","","","","","","","","","","",""
"li-4387919208","linkedin","https://www.linkedin.com/jobs/view/4387919208","","Software Engineer III","Lytx, Inc.","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/lytxinc","","","","","","","","","","","",""
"li-4388309804","linkedin","https://www.linkedin.com/jobs/view/4388309804","","MTS-VIFA","Pure Storage","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/purestorage","","","","","","","","","","","",""
"li-4375231293","linkedin","https://www.linkedin.com/jobs/view/4375231293","","Software Engineer - Backend","PayPal","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/paypal","","","","","","","","","","","",""
"li-4387695745","linkedin","https://www.linkedin.com/jobs/view/4387695745","","Software Engineer - Applications","LinkedIn","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/linkedin","","","","","","","","","","","",""
"li-4369494881","linkedin","https://www.linkedin.com/jobs/view/4369494881","","Software Engineer","Cisco","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cisco","","","","","","","","","","","",""
"li-4298181740","linkedin","https://www.linkedin.com/jobs/view/4298181740","","Software Development Engineer","Amazon","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/amazon","","","","","","","","","","","",""
"li-4198086821","linkedin","https://www.linkedin.com/jobs/view/4198086821","","SDE - II, Stores TA","Amazon","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/amazon","","","","","","","","","","","",""
"li-4369083267","linkedin","https://www.linkedin.com/jobs/view/4369083267","","Developer","Temenos","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://ch.linkedin.com/company/temenos","","","","","","","","","","","",""
"li-4387811573","linkedin","https://www.linkedin.com/jobs/view/4387811573","","Software Engineer, Backend (5-7) - BFSI","PhonePe","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://in.linkedin.com/company/phonepe-internet","","","","","","","","","","","",""
"li-4387803386","linkedin","https://www.linkedin.com/jobs/view/4387803386","","Staff Software Engineer - Applications","LinkedIn","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/linkedin","","","","","","","","","","","",""
"li-4367427001","linkedin","https://www.linkedin.com/jobs/view/4367427001","","SDE-1 (Fixed Term Contract)","Amazon Web Services (AWS)","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/amazon-web-services","","","","","","","","","","","",""
"li-4204252367","linkedin","https://www.linkedin.com/jobs/view/4204252367","","Software Development Engineer II, Amazon","Amazon","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/amazon","","","","","","","","","","","",""
"li-4375230952","linkedin","https://www.linkedin.com/jobs/view/4375230952","","Software Engineering (Front-End Developer MyCargill)","Cargill","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cargill","","","","","","","","","","","",""
"li-4387696702","linkedin","https://www.linkedin.com/jobs/view/4387696702","","Staff Software Engineer, Data Science","LinkedIn","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/linkedin","","","","","","","","","","","",""
"li-4387374552","linkedin","https://www.linkedin.com/jobs/view/4387374552","","Java Software Engineer","Infosys","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://in.linkedin.com/company/infosys","","","","","","","","","","","",""
"li-4369605630","linkedin","https://www.linkedin.com/jobs/view/4369605630","","Software Engineer","ABB","Bengaluru East, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://ch.linkedin.com/company/abb","","","","","","","","","","","",""
"li-4387806246","linkedin","https://www.linkedin.com/jobs/view/4387806246","","Senior Software Engineer, Data Science","LinkedIn","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/linkedin","","","","","","","","","","","",""
"li-4373468647","linkedin","https://www.linkedin.com/jobs/view/4373468647","","Software Development Engineer in Test (SDET)","McAfee","Bengaluru, Karnataka, India","2026-03-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/mcafee","","","","","","","","","","","",""
